action,timestamp,output,input,setpoint,setdegree,heading
rotate,1460731409055,NaN,100,0,281.83283950594205,181.83283950594205
rotate,1460731409066,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409073,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409080,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409085,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409092,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409099,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409105,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409110,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409115,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409120,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409125,255,100,0,281.83283950594205,181.83283950594205
rotate,1460731409132,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409137,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409142,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409148,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409154,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409159,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409164,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409169,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409174,255,93.13733662851729,0,281.83283950594205,188.69550287742476
rotate,1460731409179,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409186,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409193,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409198,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409203,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409210,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409215,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409220,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409225,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409230,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409235,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409242,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409247,255,89.78205462253248,0,281.83283950594205,192.05078488340956
rotate,1460731409255,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409260,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409265,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409270,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409275,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409280,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409285,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409290,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409295,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409300,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409306,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409311,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409316,255,75.26778832886404,0,281.83283950594205,206.565051177078
rotate,1460731409328,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409332,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409338,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409344,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409349,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409354,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409359,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409364,255,74.63471155743295,0,281.83283950594205,207.1981279485091
rotate,1460731409369,255,74.63471155743295,0,281.83283950594205,207.1981279485091
