action,timestamp,output,input,setpoint,setdegree
rotate,1460701409510,NaN,0,0,25.33684590139847
rotate,1460701409528,0,0,0,25.33684590139847
rotate,1460701409533,0,0,0,25.33684590139847
rotate,1460701409539,0,0,0,25.33684590139847
rotate,1460701409545,0,0,0,25.33684590139847
rotate,1460701409552,0,0,0,25.33684590139847
rotate,1460701409557,0,0,0,25.33684590139847
rotate,1460701409563,0,0,0,25.33684590139847
rotate,1460701409569,0,0,0,25.33684590139847
rotate,1460701409574,0,0,0,25.33684590139847
rotate,1460701409580,0,0,0,25.33684590139847
rotate,1460701409591,0,0,0,25.33684590139847
rotate,1460701409603,235,4,0,25.33684590139847
rotate,1460701409609,235,4,0,25.33684590139847
rotate,1460701409615,235,4,0,25.33684590139847
rotate,1460701409621,235,4,0,25.33684590139847
rotate,1460701409626,235,4,0,25.33684590139847
rotate,1460701409631,235,4,0,25.33684590139847
rotate,1460701409638,235,4,0,25.33684590139847
rotate,1460701409646,235,4,0,25.33684590139847
rotate,1460701409654,134,2,0,25.33684590139847
rotate,1460701409662,134,2,0,25.33684590139847
rotate,1460701409671,134,2,0,25.33684590139847
rotate,1460701409678,134,2,0,25.33684590139847
rotate,1460701409706,134,2,0,25.33684590139847
rotate,1460701409715,134,2,0,25.33684590139847
rotate,1460701409723,114,2,0,25.33684590139847
rotate,1460701409734,114,2,0,25.33684590139847
rotate,1460701409740,114,2,0,25.33684590139847
rotate,1460701409745,114,2,0,25.33684590139847
rotate,1460701409763,114,2,0,25.33684590139847
rotate,1460701409782,88,1,0,25.33684590139847
rotate,1460701409790,88,1,0,25.33684590139847
rotate,1460701409797,88,1,0,25.33684590139847
rotate,1460701409804,88,1,0,25.33684590139847
rotate,1460701409810,88,1,0,25.33684590139847
rotate,1460701409815,88,1,0,25.33684590139847
rotate,1460701409820,88,1,0,25.33684590139847
rotate,1460701409826,88,1,0,25.33684590139847
rotate,1460701409832,88,1,0,25.33684590139847
rotate,1460701409838,88,1,0,25.33684590139847
rotate,1460701409844,88,1,0,25.33684590139847
rotate,1460701409849,6,0,0,25.33684590139847
rotate,1460701409854,6,0,0,25.33684590139847
rotate,1460701409860,6,0,0,25.33684590139847
rotate,1460701409866,6,0,0,25.33684590139847
rotate,1460701409875,6,0,0,25.33684590139847
rotate,1460701409884,6,0,0,25.33684590139847
rotate,1460701409889,6,0,0,25.33684590139847
rotate,1460701409894,6,0,0,25.33684590139847
rotate,1460701409899,6,0,0,25.33684590139847
rotate,1460701409905,11,0,0,25.33684590139847
rotate,1460701409911,11,0,0,25.33684590139847
rotate,1460701409916,11,0,0,25.33684590139847
rotate,1460701409921,11,0,0,25.33684590139847
rotate,1460701409926,11,0,0,25.33684590139847
rotate,1460701409931,11,0,0,25.33684590139847
rotate,1460701409938,11,0,0,25.33684590139847
rotate,1460701409943,11,0,0,25.33684590139847
rotate,1460701409951,11,0,0,25.33684590139847
rotate,1460701409959,11,0,0,25.33684590139847
rotate,1460701409967,11,0,0,25.33684590139847
rotate,1460701409972,11,0,0,25.33684590139847
rotate,1460701409977,94,1,0,25.33684590139847
rotate,1460701409985,94,1,0,25.33684590139847
rotate,1460701409994,94,1,0,25.33684590139847
rotate,1460701410014,94,1,0,25.33684590139847
rotate,1460701410031,59,1,0,25.33684590139847
rotate,1460701410037,59,1,0,25.33684590139847
rotate,1460701410042,59,1,0,25.33684590139847
rotate,1460701410048,59,1,0,25.33684590139847
rotate,1460701410053,59,1,0,25.33684590139847
rotate,1460701410059,59,1,0,25.33684590139847
rotate,1460701410064,59,1,0,25.33684590139847
rotate,1460701410070,59,1,0,25.33684590139847
rotate,1460701410075,59,1,0,25.33684590139847
rotate,1460701410081,59,1,0,25.33684590139847
rotate,1460701410088,59,1,0,25.33684590139847
rotate,1460701410094,59,1,0,25.33684590139847
rotate,1460701410100,59,1,0,25.33684590139847
rotate,1460701410106,59,1,0,25.33684590139847
rotate,1460701410111,26,0,0,25.33684590139847
rotate,1460701410116,26,0,0,25.33684590139847
rotate,1460701410122,26,0,0,25.33684590139847
rotate,1460701410127,26,0,0,25.33684590139847
rotate,1460701410133,26,0,0,25.33684590139847
rotate,1460701410206,35,0,0,25.33684590139847
rotate,1460701410212,35,0,0,25.33684590139847
rotate,1460701410219,26,0,0,25.33684590139847
rotate,1460701410226,26,0,0,25.33684590139847
rotate,1460701410233,26,0,0,25.33684590139847
rotate,1460701410238,26,0,0,25.33684590139847
rotate,1460701410243,26,0,0,25.33684590139847
rotate,1460701410254,26,0,0,25.33684590139847
rotate,1460701410265,26,0,0,25.33684590139847
rotate,1460701410270,26,0,0,25.33684590139847
rotate,1460701410274,26,0,0,25.33684590139847
rotate,1460701410286,26,0,0,25.33684590139847
rotate,1460701410297,26,0,0,25.33684590139847
rotate,1460701410306,26,0,0,25.33684590139847
rotate,1460701410315,26,0,0,25.33684590139847
rotate,1460701410319,26,0,0,25.33684590139847
rotate,1460701410327,17,0,0,25.33684590139847
rotate,1460701410334,17,0,0,25.33684590139847
rotate,1460701410339,17,0,0,25.33684590139847
rotate,1460701410345,17,0,0,25.33684590139847
rotate,1460701410351,17,0,0,25.33684590139847
rotate,1460701410356,17,0,0,25.33684590139847
rotate,1460701410362,17,0,0,25.33684590139847
rotate,1460701410368,17,0,0,25.33684590139847
rotate,1460701410375,61,1,0,25.33684590139847
rotate,1460701410380,61,1,0,25.33684590139847
rotate,1460701410387,61,1,0,25.33684590139847
rotate,1460701410391,61,1,0,25.33684590139847
rotate,1460701410396,61,1,0,25.33684590139847
rotate,1460701410402,61,1,0,25.33684590139847
rotate,1460701410407,61,1,0,25.33684590139847
rotate,1460701410412,61,1,0,25.33684590139847
rotate,1460701410417,61,1,0,25.33684590139847
rotate,1460701410422,61,1,0,25.33684590139847
rotate,1460701410429,61,1,0,25.33684590139847
rotate,1460701410434,61,1,0,25.33684590139847
rotate,1460701410439,61,1,0,25.33684590139847
rotate,1460701410444,4,0,0,25.33684590139847
rotate,1460701410448,4,0,0,25.33684590139847
rotate,1460701410454,4,0,0,25.33684590139847
rotate,1460701410461,4,0,0,25.33684590139847
rotate,1460701410467,4,0,0,25.33684590139847
rotate,1460701410474,4,0,0,25.33684590139847
rotate,1460701410479,4,0,0,25.33684590139847
rotate,1460701410484,4,0,0,25.33684590139847
rotate,1460701410492,4,0,0,25.33684590139847
rotate,1460701410500,48,0,0,25.33684590139847
rotate,1460701410508,48,0,0,25.33684590139847
rotate,1460701410515,48,0,0,25.33684590139847
rotate,1460701410523,48,0,0,25.33684590139847
rotate,1460701410529,48,0,0,25.33684590139847
rotate,1460701410536,48,0,0,25.33684590139847
rotate,1460701410543,48,0,0,25.33684590139847
rotate,1460701410549,48,0,0,25.33684590139847
rotate,1460701410554,48,0,0,25.33684590139847
rotate,1460701410559,48,0,0,25.33684590139847
rotate,1460701410564,48,0,0,25.33684590139847
rotate,1460701410569,48,0,0,25.33684590139847
rotate,1460701410574,0,0,0,25.33684590139847
rotate,1460701410580,0,0,0,25.33684590139847
rotate,1460701410586,0,0,0,25.33684590139847
rotate,1460701410591,0,0,0,25.33684590139847
rotate,1460701410596,0,0,0,25.33684590139847
rotate,1460701410601,0,0,0,25.33684590139847
rotate,1460701410606,0,0,0,25.33684590139847
rotate,1460701410611,0,0,0,25.33684590139847
rotate,1460701410616,0,0,0,25.33684590139847
rotate,1460701410621,18,0,0,25.33684590139847
rotate,1460701410626,18,0,0,25.33684590139847
rotate,1460701410631,18,0,0,25.33684590139847
rotate,1460701410638,18,0,0,25.33684590139847
rotate,1460701410644,18,0,0,25.33684590139847
rotate,1460701410649,18,0,0,25.33684590139847
rotate,1460701410654,18,0,0,25.33684590139847
rotate,1460701410659,18,0,0,25.33684590139847
rotate,1460701410664,18,0,0,25.33684590139847
rotate,1460701410669,18,0,0,25.33684590139847
rotate,1460701410674,18,0,0,25.33684590139847
rotate,1460701410679,18,0,0,25.33684590139847
rotate,1460701410685,18,0,0,25.33684590139847
rotate,1460701410693,18,0,0,25.33684590139847
rotate,1460701410700,18,0,0,25.33684590139847
rotate,1460701410705,18,0,0,25.33684590139847
rotate,1460701410711,18,0,0,25.33684590139847
rotate,1460701410717,18,0,0,25.33684590139847
rotate,1460701410722,4,0,0,25.33684590139847
rotate,1460701410727,4,0,0,25.33684590139847
rotate,1460701410733,4,0,0,25.33684590139847
rotate,1460701410739,4,0,0,25.33684590139847
rotate,1460701410744,4,0,0,25.33684590139847
rotate,1460701410751,4,0,0,25.33684590139847
rotate,1460701410759,4,0,0,25.33684590139847
rotate,1460701410766,4,0,0,25.33684590139847
rotate,1460701410775,59,1,0,25.33684590139847
rotate,1460701410780,59,1,0,25.33684590139847
rotate,1460701410785,59,1,0,25.33684590139847
rotate,1460701410790,59,1,0,25.33684590139847
rotate,1460701410795,59,1,0,25.33684590139847
rotate,1460701410800,59,1,0,25.33684590139847
rotate,1460701410805,59,1,0,25.33684590139847
rotate,1460701410810,59,1,0,25.33684590139847
rotate,1460701410815,59,1,0,25.33684590139847
rotate,1460701410820,59,1,0,25.33684590139847
rotate,1460701410825,59,1,0,25.33684590139847
