action,timestamp,output,input,setpoint,setdegree
forward,1460701678893,NaN,0,0,253.21016962881527
forward,1460701678903,0,0,0,253.21016962881527
forward,1460701678909,0,0,0,253.21016962881527
forward,1460701678915,0,0,0,253.21016962881527
forward,1460701678919,0,0,0,253.21016962881527
forward,1460701678924,0,0,0,253.21016962881527
forward,1460701678930,0,0,0,253.21016962881527
forward,1460701678935,0,0,0,253.21016962881527
forward,1460701678940,255,35,0,253.21016962881527
forward,1460701678945,255,35,0,253.21016962881527
forward,1460701678951,255,35,0,253.21016962881527
forward,1460701678958,255,35,0,253.21016962881527
forward,1460701678964,255,35,0,253.21016962881527
forward,1460701678970,255,35,0,253.21016962881527
forward,1460701678976,255,35,0,253.21016962881527
forward,1460701678982,255,35,0,253.21016962881527
forward,1460701678989,255,35,0,253.21016962881527
forward,1460701678996,255,35,0,253.21016962881527
forward,1460701679002,255,35,0,253.21016962881527
forward,1460701679007,255,35,0,253.21016962881527
forward,1460701679013,255,35,0,253.21016962881527
forward,1460701679019,145,2,0,253.21016962881527
forward,1460701679025,145,2,0,253.21016962881527
forward,1460701679032,145,2,0,253.21016962881527
forward,1460701679039,145,2,0,253.21016962881527
forward,1460701679051,145,2,0,253.21016962881527
forward,1460701679062,145,2,0,253.21016962881527
forward,1460701679067,145,2,0,253.21016962881527
forward,1460701679072,145,2,0,253.21016962881527
forward,1460701679077,145,2,0,253.21016962881527
forward,1460701679083,145,2,0,253.21016962881527
forward,1460701679091,145,2,0,253.21016962881527
forward,1460701679099,56,1,0,253.21016962881527
forward,1460701679105,56,1,0,253.21016962881527
forward,1460701679112,56,1,0,253.21016962881527
forward,1460701679119,56,1,0,253.21016962881527
forward,1460701679124,56,1,0,253.21016962881527
forward,1460701679129,56,1,0,253.21016962881527
forward,1460701679134,56,1,0,253.21016962881527
forward,1460701679140,56,1,0,253.21016962881527
forward,1460701679145,33,0,0,253.21016962881527
forward,1460701679150,33,0,0,253.21016962881527
forward,1460701679155,33,0,0,253.21016962881527
forward,1460701679160,33,0,0,253.21016962881527
forward,1460701679165,33,0,0,253.21016962881527
forward,1460701679170,33,0,0,253.21016962881527
forward,1460701679178,33,0,0,253.21016962881527
forward,1460701679186,33,0,0,253.21016962881527
forward,1460701679191,33,0,0,253.21016962881527
forward,1460701679197,33,0,0,253.21016962881527
forward,1460701679202,33,0,0,253.21016962881527
forward,1460701679207,33,0,0,253.21016962881527
forward,1460701679212,33,0,0,253.21016962881527
forward,1460701679217,255,5,0,253.21016962881527
forward,1460701679222,255,5,0,253.21016962881527
forward,1460701679227,255,5,0,253.21016962881527
forward,1460701679232,255,5,0,253.21016962881527
forward,1460701679237,255,5,0,253.21016962881527
forward,1460701679243,255,5,0,253.21016962881527
forward,1460701679248,255,5,0,253.21016962881527
forward,1460701679253,255,5,0,253.21016962881527
forward,1460701679261,255,5,0,253.21016962881527
forward,1460701679266,32,0,0,253.21016962881527
forward,1460701679272,32,0,0,253.21016962881527
forward,1460701679278,32,0,0,253.21016962881527
forward,1460701679290,32,0,0,253.21016962881527
forward,1460701679301,32,0,0,253.21016962881527
forward,1460701679308,32,0,0,253.21016962881527
forward,1460701679313,32,0,0,253.21016962881527
forward,1460701679318,32,0,0,253.21016962881527
forward,1460701679324,32,0,0,253.21016962881527
forward,1460701679329,32,0,0,253.21016962881527
forward,1460701679334,32,0,0,253.21016962881527
forward,1460701679339,32,0,0,253.21016962881527
forward,1460701679344,255,8,0,253.21016962881527
forward,1460701679349,255,8,0,253.21016962881527
forward,1460701679354,255,8,0,253.21016962881527
forward,1460701679359,255,8,0,253.21016962881527
forward,1460701679365,255,8,0,253.21016962881527
forward,1460701679370,255,8,0,253.21016962881527
forward,1460701679376,255,8,0,253.21016962881527
forward,1460701679382,255,8,0,253.21016962881527
forward,1460701679387,255,8,0,253.21016962881527
forward,1460701679392,255,8,0,253.21016962881527
forward,1460701679397,255,8,0,253.21016962881527
forward,1460701679402,255,8,0,253.21016962881527
forward,1460701679407,255,8,0,253.21016962881527
forward,1460701679412,255,8,0,253.21016962881527
forward,1460701679417,36,0,0,253.21016962881527
forward,1460701679422,36,0,0,253.21016962881527
forward,1460701679427,36,0,0,253.21016962881527
forward,1460701679432,36,0,0,253.21016962881527
forward,1460701679437,36,0,0,253.21016962881527
forward,1460701679443,36,0,0,253.21016962881527
forward,1460701679448,36,0,0,253.21016962881527
forward,1460701679453,36,0,0,253.21016962881527
forward,1460701679458,36,0,0,253.21016962881527
forward,1460701679465,36,0,0,253.21016962881527
forward,1460701679472,255,7,0,253.21016962881527
forward,1460701679477,255,7,0,253.21016962881527
forward,1460701679483,255,7,0,253.21016962881527
forward,1460701679488,255,7,0,253.21016962881527
forward,1460701679494,255,7,0,253.21016962881527
forward,1460701679500,255,7,0,253.21016962881527
forward,1460701679505,255,7,0,253.21016962881527
forward,1460701679513,255,7,0,253.21016962881527
forward,1460701679522,255,7,0,253.21016962881527
forward,1460701679527,255,7,0,253.21016962881527
forward,1460701679533,255,7,0,253.21016962881527
forward,1460701679541,29,0,0,253.21016962881527
forward,1460701679547,29,0,0,253.21016962881527
forward,1460701679551,29,0,0,253.21016962881527
forward,1460701679556,29,0,0,253.21016962881527
forward,1460701679561,29,0,0,253.21016962881527
forward,1460701679567,29,0,0,253.21016962881527
forward,1460701679572,29,0,0,253.21016962881527
forward,1460701679577,29,0,0,253.21016962881527
forward,1460701679582,29,0,0,253.21016962881527
forward,1460701679588,29,0,0,253.21016962881527
forward,1460701679593,29,0,0,253.21016962881527
forward,1460701679598,29,0,0,253.21016962881527
forward,1460701679603,29,0,0,253.21016962881527
forward,1460701679609,29,0,0,253.21016962881527
forward,1460701679614,29,0,0,253.21016962881527
forward,1460701679620,255,6,0,253.21016962881527
forward,1460701679625,255,6,0,253.21016962881527
forward,1460701679631,255,6,0,253.21016962881527
forward,1460701679641,255,6,0,253.21016962881527
forward,1460701679647,255,6,0,253.21016962881527
forward,1460701679653,255,6,0,253.21016962881527
forward,1460701679658,255,6,0,253.21016962881527
forward,1460701679665,255,6,0,253.21016962881527
forward,1460701679671,47,0,0,253.21016962881527
forward,1460701679677,47,0,0,253.21016962881527
forward,1460701679708,47,0,0,253.21016962881527
forward,1460701679714,47,0,0,253.21016962881527
forward,1460701679719,47,0,0,253.21016962881527
forward,1460701679723,47,0,0,253.21016962881527
forward,1460701679729,47,0,0,253.21016962881527
forward,1460701679744,47,0,0,253.21016962881527
forward,1460701679751,47,0,0,253.21016962881527
forward,1460701679757,47,0,0,253.21016962881527
forward,1460701679762,47,0,0,253.21016962881527
forward,1460701679766,47,0,0,253.21016962881527
forward,1460701679771,255,9,0,253.21016962881527
forward,1460701679777,255,9,0,253.21016962881527
forward,1460701679793,255,9,0,253.21016962881527
forward,1460701679804,255,9,0,253.21016962881527
forward,1460701679809,255,9,0,253.21016962881527
forward,1460701679814,255,9,0,253.21016962881527
forward,1460701679818,255,0,0,253.21016962881527
forward,1460701679824,46,0,0,253.21016962881527
forward,1460701679829,46,0,0,253.21016962881527
forward,1460701679833,46,0,0,253.21016962881527
forward,1460701679838,46,0,0,253.21016962881527
forward,1460701679844,46,0,0,253.21016962881527
forward,1460701679851,46,0,0,253.21016962881527
forward,1460701679855,46,0,0,253.21016962881527
forward,1460701679862,46,0,0,253.21016962881527
forward,1460701679869,46,0,0,253.21016962881527
forward,1460701679875,255,8,0,253.21016962881527
forward,1460701679882,255,8,0,253.21016962881527
forward,1460701679886,255,8,0,253.21016962881527
forward,1460701679891,255,8,0,253.21016962881527
forward,1460701679896,255,8,0,253.21016962881527
forward,1460701679902,255,8,0,253.21016962881527
forward,1460701679906,255,8,0,253.21016962881527
forward,1460701679911,255,8,0,253.21016962881527
forward,1460701679917,255,8,0,253.21016962881527
forward,1460701679922,255,8,0,253.21016962881527
forward,1460701679928,255,8,0,253.21016962881527
forward,1460701679933,255,8,0,253.21016962881527
forward,1460701679939,255,8,0,253.21016962881527
forward,1460701679946,82,1,0,253.21016962881527
forward,1460701679952,82,1,0,253.21016962881527
forward,1460701679958,82,1,0,253.21016962881527
forward,1460701679964,82,1,0,253.21016962881527
forward,1460701679969,82,1,0,253.21016962881527
forward,1460701679975,82,1,0,253.21016962881527
forward,1460701679980,82,1,0,253.21016962881527
forward,1460701679985,82,1,0,253.21016962881527
forward,1460701679990,82,1,0,253.21016962881527
forward,1460701679995,82,1,0,253.21016962881527
forward,1460701680000,82,1,0,253.21016962881527
forward,1460701680007,82,1,0,253.21016962881527
forward,1460701680012,82,1,0,253.21016962881527
forward,1460701680019,255,9,0,253.21016962881527
forward,1460701680025,255,9,0,253.21016962881527
forward,1460701680033,255,9,0,253.21016962881527
forward,1460701680046,255,9,0,253.21016962881527
forward,1460701680056,255,9,0,253.21016962881527
forward,1460701680060,255,9,0,253.21016962881527
forward,1460701680066,255,9,0,253.21016962881527
forward,1460701680071,255,9,0,253.21016962881527
forward,1460701680075,255,1,0,253.21016962881527
forward,1460701680081,53,1,0,253.21016962881527
forward,1460701680089,53,1,0,253.21016962881527
forward,1460701680094,53,1,0,253.21016962881527
forward,1460701680100,53,1,0,253.21016962881527
forward,1460701680107,53,1,0,253.21016962881527
forward,1460701680114,53,1,0,253.21016962881527
forward,1460701680120,53,1,0,253.21016962881527
forward,1460701680126,53,1,0,253.21016962881527
forward,1460701680130,53,1,0,253.21016962881527
forward,1460701680136,53,1,0,253.21016962881527
forward,1460701680141,53,1,0,253.21016962881527
forward,1460701680148,255,5,0,253.21016962881527
forward,1460701680154,255,5,0,253.21016962881527
forward,1460701680161,255,5,0,253.21016962881527
forward,1460701680167,255,5,0,253.21016962881527
forward,1460701680172,255,5,0,253.21016962881527
forward,1460701680177,255,5,0,253.21016962881527
forward,1460701680182,255,5,0,253.21016962881527
forward,1460701680187,255,5,0,253.21016962881527
forward,1460701680192,255,5,0,253.21016962881527
forward,1460701680197,255,5,0,253.21016962881527
forward,1460701680203,11,0,0,253.21016962881527
forward,1460701680209,11,0,0,253.21016962881527
forward,1460701680216,11,0,0,253.21016962881527
forward,1460701680223,11,0,0,253.21016962881527
forward,1460701680230,11,0,0,253.21016962881527
forward,1460701680237,11,0,0,253.21016962881527
forward,1460701680242,11,0,0,253.21016962881527
forward,1460701680247,11,0,0,253.21016962881527
forward,1460701680253,11,0,0,253.21016962881527
forward,1460701680258,11,0,0,253.21016962881527
forward,1460701680266,11,0,0,253.21016962881527
forward,1460701680271,11,0,0,253.21016962881527
forward,1460701680278,82,1,0,253.21016962881527
forward,1460701680284,82,1,0,253.21016962881527
forward,1460701680290,82,1,0,253.21016962881527
forward,1460701680301,82,1,0,253.21016962881527
forward,1460701680308,82,1,0,253.21016962881527
forward,1460701680313,82,1,0,253.21016962881527
forward,1460701680320,82,1,0,253.21016962881527
forward,1460701680328,82,1,0,253.21016962881527
forward,1460701680333,82,1,0,253.21016962881527
forward,1460701680339,82,1,0,253.21016962881527
forward,1460701680345,82,1,0,253.21016962881527
forward,1460701680350,255,5,0,253.21016962881527
forward,1460701680355,255,5,0,253.21016962881527
forward,1460701680361,255,5,0,253.21016962881527
forward,1460701680367,255,5,0,253.21016962881527
forward,1460701680375,255,5,0,253.21016962881527
forward,1460701680379,255,5,0,253.21016962881527
forward,1460701680385,255,5,0,253.21016962881527
forward,1460701680390,255,5,0,253.21016962881527
forward,1460701680396,255,5,0,253.21016962881527
forward,1460701680403,106,2,0,253.21016962881527
forward,1460701680409,106,2,0,253.21016962881527
forward,1460701680414,106,2,0,253.21016962881527
forward,1460701680419,106,2,0,253.21016962881527
forward,1460701680424,106,2,0,253.21016962881527
forward,1460701680429,106,2,0,253.21016962881527
forward,1460701680435,106,2,0,253.21016962881527
forward,1460701680440,106,2,0,253.21016962881527
forward,1460701680446,106,2,0,253.21016962881527
forward,1460701680453,106,2,0,253.21016962881527
forward,1460701680459,106,2,0,253.21016962881527
forward,1460701680464,106,2,0,253.21016962881527
forward,1460701680469,106,2,0,253.21016962881527
forward,1460701680474,106,2,0,253.21016962881527
forward,1460701680479,255,9,0,253.21016962881527
forward,1460701680484,255,9,0,253.21016962881527
forward,1460701680489,255,9,0,253.21016962881527
forward,1460701680494,255,9,0,253.21016962881527
forward,1460701680499,255,9,0,253.21016962881527
forward,1460701680504,255,9,0,253.21016962881527
forward,1460701680509,255,9,0,253.21016962881527
forward,1460701680514,255,9,0,253.21016962881527
forward,1460701680519,255,9,0,253.21016962881527
forward,1460701680524,255,9,0,253.21016962881527
forward,1460701680529,25,0,0,253.21016962881527
forward,1460701680534,25,0,0,253.21016962881527
forward,1460701680549,25,0,0,253.21016962881527
forward,1460701680555,25,0,0,253.21016962881527
forward,1460701680562,25,0,0,253.21016962881527
forward,1460701680567,25,0,0,253.21016962881527
forward,1460701680572,25,0,0,253.21016962881527
forward,1460701680577,25,0,0,253.21016962881527
forward,1460701680582,25,0,0,253.21016962881527
forward,1460701680587,25,0,0,253.21016962881527
forward,1460701680592,25,0,0,253.21016962881527
forward,1460701680597,25,0,0,253.21016962881527
forward,1460701680602,255,5,0,253.21016962881527
forward,1460701680607,255,5,0,253.21016962881527
forward,1460701680612,255,5,0,253.21016962881527
forward,1460701680617,255,5,0,253.21016962881527
forward,1460701680622,255,5,0,253.21016962881527
forward,1460701680627,255,5,0,253.21016962881527
forward,1460701680632,255,5,0,253.21016962881527
forward,1460701680637,255,5,0,253.21016962881527
forward,1460701680642,255,5,0,253.21016962881527
forward,1460701680647,255,5,0,253.21016962881527
forward,1460701680652,107,2,0,253.21016962881527
forward,1460701680657,107,2,0,253.21016962881527
forward,1460701680662,107,2,0,253.21016962881527
forward,1460701680667,107,2,0,253.21016962881527
forward,1460701680672,107,2,0,253.21016962881527
forward,1460701680677,107,2,0,253.21016962881527
forward,1460701680682,107,2,0,253.21016962881527
forward,1460701680687,107,2,0,253.21016962881527
forward,1460701680692,107,2,0,253.21016962881527
forward,1460701680697,107,2,0,253.21016962881527
forward,1460701680702,107,2,0,253.21016962881527
forward,1460701680707,107,2,0,253.21016962881527
forward,1460701680712,107,2,0,253.21016962881527
forward,1460701680717,107,2,0,253.21016962881527
forward,1460701680723,107,2,0,253.21016962881527
forward,1460701680729,107,2,0,253.21016962881527
forward,1460701680734,107,2,0,253.21016962881527
forward,1460701680739,107,2,0,253.21016962881527
forward,1460701680744,107,2,0,253.21016962881527
forward,1460701680749,107,2,0,253.21016962881527
forward,1460701680754,36,0,0,253.21016962881527
forward,1460701680759,36,0,0,253.21016962881527
forward,1460701680764,36,0,0,253.21016962881527
forward,1460701680771,36,0,0,253.21016962881527
forward,1460701680778,36,0,0,253.21016962881527
forward,1460701680784,36,0,0,253.21016962881527
forward,1460701680789,36,0,0,253.21016962881527
forward,1460701680795,36,0,0,253.21016962881527
forward,1460701680800,36,0,0,253.21016962881527
forward,1460701680805,39,0,0,253.21016962881527
forward,1460701680812,39,0,0,253.21016962881527
forward,1460701680818,39,0,0,253.21016962881527
forward,1460701680823,39,0,0,253.21016962881527
forward,1460701680829,39,0,0,253.21016962881527
forward,1460701680834,39,0,0,253.21016962881527
forward,1460701680840,39,0,0,253.21016962881527
forward,1460701680845,39,0,0,253.21016962881527
forward,1460701680850,39,0,0,253.21016962881527
forward,1460701680855,39,0,0,253.21016962881527
forward,1460701680860,39,0,0,253.21016962881527
forward,1460701680865,39,0,0,253.21016962881527
forward,1460701680870,39,0,0,253.21016962881527
forward,1460701680876,39,0,0,253.21016962881527
forward,1460701680881,66,1,0,253.21016962881527
forward,1460701680886,66,1,0,253.21016962881527
forward,1460701680891,66,1,0,253.21016962881527
forward,1460701680896,66,1,0,253.21016962881527
forward,1460701680901,66,1,0,253.21016962881527
forward,1460701680906,66,1,0,253.21016962881527
forward,1460701680911,66,1,0,253.21016962881527
forward,1460701680916,66,1,0,253.21016962881527
forward,1460701680921,66,1,0,253.21016962881527
forward,1460701680926,66,1,0,253.21016962881527
forward,1460701680931,54,1,0,253.21016962881527
forward,1460701680936,54,1,0,253.21016962881527
forward,1460701680941,54,1,0,253.21016962881527
forward,1460701680946,54,1,0,253.21016962881527
forward,1460701680951,54,1,0,253.21016962881527
forward,1460701680956,54,1,0,253.21016962881527
forward,1460701680961,54,1,0,253.21016962881527
forward,1460701680966,54,1,0,253.21016962881527
forward,1460701680971,54,1,0,253.21016962881527
forward,1460701680976,54,1,0,253.21016962881527
forward,1460701680981,54,1,0,253.21016962881527
forward,1460701680987,54,1,0,253.21016962881527
forward,1460701680993,54,1,0,253.21016962881527
forward,1460701680998,54,1,0,253.21016962881527
forward,1460701681003,162,3,0,253.21016962881527
forward,1460701681008,162,3,0,253.21016962881527
forward,1460701681013,162,3,0,253.21016962881527
forward,1460701681018,162,3,0,253.21016962881527
forward,1460701681023,162,3,0,253.21016962881527
forward,1460701681028,162,3,0,253.21016962881527
forward,1460701681033,162,3,0,253.21016962881527
forward,1460701681038,162,3,0,253.21016962881527
forward,1460701681043,162,3,0,253.21016962881527
forward,1460701681048,162,3,0,253.21016962881527
forward,1460701681052,162,2,0,253.21016962881527
forward,1460701681058,108,2,0,253.21016962881527
forward,1460701681062,108,2,0,253.21016962881527
forward,1460701681068,108,2,0,253.21016962881527
forward,1460701681072,108,2,0,253.21016962881527
forward,1460701681079,108,2,0,253.21016962881527
forward,1460701681086,108,2,0,253.21016962881527
forward,1460701681091,108,2,0,253.21016962881527
forward,1460701681096,108,2,0,253.21016962881527
forward,1460701681101,108,2,0,253.21016962881527
forward,1460701681106,108,2,0,253.21016962881527
forward,1460701681112,108,2,0,253.21016962881527
forward,1460701681117,108,2,0,253.21016962881527
forward,1460701681122,108,2,0,253.21016962881527
forward,1460701681127,14,0,0,253.21016962881527
forward,1460701681133,14,0,0,253.21016962881527
forward,1460701681138,14,0,0,253.21016962881527
forward,1460701681143,14,0,0,253.21016962881527
forward,1460701681148,14,0,0,253.21016962881527
forward,1460701681152,14,0,0,253.21016962881527
forward,1460701681158,14,0,0,253.21016962881527
forward,1460701681163,14,0,0,253.21016962881527
forward,1460701681172,14,0,0,253.21016962881527
forward,1460701681179,14,0,0,253.21016962881527
forward,1460701681185,14,0,0,253.21016962881527
forward,1460701681190,14,0,0,253.21016962881527
forward,1460701681195,14,0,0,253.21016962881527
forward,1460701681201,14,0,0,253.21016962881527
forward,1460701681206,255,11,0,253.21016962881527
forward,1460701681211,255,11,0,253.21016962881527
forward,1460701681216,255,11,0,253.21016962881527
forward,1460701681221,255,11,0,253.21016962881527
forward,1460701681226,255,11,0,253.21016962881527
forward,1460701681231,255,11,0,253.21016962881527
forward,1460701681236,255,11,0,253.21016962881527
forward,1460701681241,255,11,0,253.21016962881527
forward,1460701681246,255,11,0,253.21016962881527
forward,1460701681251,255,11,0,253.21016962881527
forward,1460701681257,255,11,0,253.21016962881527
forward,1460701681262,255,11,0,253.21016962881527
forward,1460701681267,255,11,0,253.21016962881527
forward,1460701681272,255,11,0,253.21016962881527
forward,1460701681277,16,0,0,253.21016962881527
forward,1460701681282,16,0,0,253.21016962881527
forward,1460701681287,16,0,0,253.21016962881527
forward,1460701681292,16,0,0,253.21016962881527
forward,1460701681297,16,0,0,253.21016962881527
forward,1460701681302,16,0,0,253.21016962881527
forward,1460701681307,16,0,0,253.21016962881527
forward,1460701681315,16,0,0,253.21016962881527
forward,1460701681322,16,0,0,253.21016962881527
forward,1460701681327,255,7,0,253.21016962881527
forward,1460701681332,255,7,0,253.21016962881527
forward,1460701681338,255,7,0,253.21016962881527
forward,1460701681343,255,7,0,253.21016962881527
forward,1460701681348,255,7,0,253.21016962881527
forward,1460701681353,255,7,0,253.21016962881527
forward,1460701681360,255,7,0,253.21016962881527
forward,1460701681365,255,7,0,253.21016962881527
forward,1460701681370,255,7,0,253.21016962881527
forward,1460701681375,255,7,0,253.21016962881527
forward,1460701681381,255,7,0,253.21016962881527
forward,1460701681387,255,7,0,253.21016962881527
forward,1460701681391,255,7,0,253.21016962881527
forward,1460701681396,255,7,0,253.21016962881527
forward,1460701681401,56,1,0,253.21016962881527
forward,1460701681407,56,1,0,253.21016962881527
forward,1460701681412,56,1,0,253.21016962881527
forward,1460701681417,56,1,0,253.21016962881527
forward,1460701681422,56,1,0,253.21016962881527
forward,1460701681427,56,1,0,253.21016962881527
forward,1460701681432,56,1,0,253.21016962881527
forward,1460701681439,56,1,0,253.21016962881527
forward,1460701681445,56,1,0,253.21016962881527
forward,1460701681450,56,1,0,253.21016962881527
forward,1460701681455,56,1,0,253.21016962881527
forward,1460701681460,56,1,0,253.21016962881527
forward,1460701681466,56,1,0,253.21016962881527
forward,1460701681471,56,1,0,253.21016962881527
forward,1460701681476,56,1,0,253.21016962881527
forward,1460701681481,148,2,0,253.21016962881527
forward,1460701681487,148,2,0,253.21016962881527
forward,1460701681493,148,2,0,253.21016962881527
forward,1460701681499,148,2,0,253.21016962881527
forward,1460701681504,148,2,0,253.21016962881527
forward,1460701681509,148,2,0,253.21016962881527
forward,1460701681514,148,2,0,253.21016962881527
forward,1460701681519,148,2,0,253.21016962881527
forward,1460701681525,148,2,0,253.21016962881527
forward,1460701681531,5,0,0,253.21016962881527
forward,1460701681537,5,0,0,253.21016962881527
forward,1460701681542,5,0,0,253.21016962881527
forward,1460701681547,5,0,0,253.21016962881527
forward,1460701681557,5,0,0,253.21016962881527
forward,1460701681563,5,0,0,253.21016962881527
forward,1460701681569,5,0,0,253.21016962881527
forward,1460701681576,5,0,0,253.21016962881527
forward,1460701681582,5,0,0,253.21016962881527
forward,1460701681588,5,0,0,253.21016962881527
forward,1460701681594,5,0,0,253.21016962881527
forward,1460701681599,5,0,0,253.21016962881527
forward,1460701681604,255,13,0,253.21016962881527
forward,1460701681609,255,13,0,253.21016962881527
forward,1460701681614,255,13,0,253.21016962881527
forward,1460701681619,255,13,0,253.21016962881527
forward,1460701681624,255,13,0,253.21016962881527
forward,1460701681629,255,13,0,253.21016962881527
forward,1460701681634,255,13,0,253.21016962881527
forward,1460701681639,255,13,0,253.21016962881527
forward,1460701681644,255,13,0,253.21016962881527
forward,1460701681649,255,13,0,253.21016962881527
forward,1460701681654,41,0,0,253.21016962881527
forward,1460701681659,41,0,0,253.21016962881527
forward,1460701681664,41,0,0,253.21016962881527
forward,1460701681669,41,0,0,253.21016962881527
forward,1460701681674,41,0,0,253.21016962881527
forward,1460701681679,41,0,0,253.21016962881527
