1460539960830 Device(s) COM5  
1460539960852 Connected COM5  
1460539964070 Repl Initialized  
>> Robot Ready
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 8 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 177 ,heading: 9 ,rotateDirection: left ,quarter: Q3
output: 124 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 11 ,rotateDirection: left ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
