1460540424882 Device(s) COM5  
1460540424903 Connected COM5  
1460540428113 Repl Initialized  
>> Robot Ready
output: NaN ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 26 ,rotateDirection: right ,quarter: Q3
output: 95 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 30 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 23 ,rotateDirection: right ,quarter: Q3
output: 0 ,setpoint: 0 ,input: 171 ,heading: 35 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 171 ,heading: 35 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 171 ,heading: 35 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 171 ,heading: 35 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 171 ,heading: 35 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 171 ,heading: 35 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 171 ,heading: 35 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 22 ,rotateDirection: right ,quarter: Q3
output: 0 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 167 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 174 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 174 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 174 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 174 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 174 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 174 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 174 ,heading: 21 ,rotateDirection: right ,quarter: Q3
