1460540096643 Device(s) COM5  
1460540096669 Connected COM5  
1460540099884 Repl Initialized  
>> Robot Ready
output: 255 ,setpoint: 0 ,input: 155 ,heading: 161 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 155 ,heading: 161 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 155 ,heading: 161 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 155 ,heading: 161 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 155 ,heading: 161 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 155 ,heading: 161 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 155 ,heading: 161 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 145 ,heading: 152 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 138 ,heading: 145 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 116 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 116 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 116 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 116 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 116 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 116 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 116 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
