1460540543607 Device(s) COM5  
1460540543636 Connected COM5  
1460540546850 Repl Initialized  
>> Robot Ready
output: NaN ,setpoint: 0 ,input: 180 ,heading: 256 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 180 ,heading: 256 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 180 ,heading: 256 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 257 ,rotateDirection: left ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 172 ,heading: 263 ,rotateDirection: left ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 178 ,heading: 258 ,rotateDirection: left ,quarter: Q1
